A,B,C,D,E,F,G,H
GRP001,OK금융그룹,1,,,active,1,"OK금융그룹의 지주회사로서 그룹 전체의 경영전략 수립, 계열사 관리감독, 그룹 시너지 창출 및 신성장동력 발굴을 담당하는 최상위 조직입니다."
COM001,OK저축은행,2,GRP001,대표이사,active,1,"OK금융그룹의 핵심 계열사로서 서민금융 지원과 중소기업 금융서비스를 전문으로 하며, 디지털 혁신을 통해 고객 중심의 종합 금융서비스를 제공하는 저축은행입니다."
HQ001,CSR본부,3,COM001,CSR본부장,active,1,"기업의 사회적 책임 실현을 위한 전략 수립 및 실행, 홍보/대외협력, 스포츠단 운영 등을 통해 그룹의 브랜드 가치 향상과 사회공헌 활동을 총괄하는 핵심 본부입니다."
DEPT001,스포츠단사무국,4,HQ001,스포츠단사무국장,active,1,"OK저축은행 스포츠단의 운영 지원, 선수단 관리, 대회 참가 기획, 팬 마케팅 등을 통해 스포츠를 통한 기업 이미지 제고와 사회공헌을 실현하는 스포츠 마케팅 조직입니다."
TEAM001,홍보CSR팀,5,HQ001,홍보CSR팀장,active,1,"대내외 홍보활동, 언론 대응, 사회공헌 프로그램 기획 및 운영, 브랜드 관리 등을 통해 기업 이미지 제고와 사회적 가치 창출을 담당하는 홍보/CSR 실행조직입니다."
HQ002,경영관리본부,3,COM001,경영관리본부장,active,2,"그룹의 경영전략, 재무회계, 인사관리, IT 전략 등 경영 전반의 지원기능을 담당하며, 효율적인 자원 배분과 조직 운영을 통해 경영목표 달성을 지원하는 핵심 관리조직입니다."
DEPT002,경영기획부,4,HQ002,경영기획부장,active,2,"중장기 경영전략 수립, 연간 사업계획 수립 및 실적 관리, 신규 사업 기회 발굴, 조직 구조 개편 등 전사적 경영관리 업무를 수행하는 전략기획 부서입니다."
TEAM002,경영기획팀,5,DEPT002,경영기획팀장,active,2,"경영전략 실행계획 수립, KPI 관리, 경영회의 운영, 대외 제출자료 작성 등 CEO 및 경영진의 의사결정을 지원하고 전략과제를 추진하는 기획 실무조직입니다."
TEAM003,재무회계팀,5,DEPT002,재무회계팀장,active,2,"재무제표 작성, 세무신고, 예산편성 및 집행관리, 원가분석, 관리회계 등을 통해 재무 건전성 확보와 경영 의사결정에 필요한 재무정보를 제공하는 회계 전문조직입니다."
DEPT003,경영지원부,4,HQ002,경영지원부장,active,2,"자금 조달 및 운용, 총무/구매, 인사/교육 등 경영활동에 필요한 제반 지원업무를 통해 원활한 조직 운영과 업무 효율성 향상을 도모하는 경영지원 부서입니다."
TEAM004,자금운용팀,5,DEPT003,자금운용팀장,active,2,"여유자금 운용, 유동성 관리, 자금조달 계획 수립 및 실행, 금리리스크 헤지 등을 통해 안정적인 자금 흐름을 유지하고 수익을 창출하는 자금관리 조직입니다."
TEAM005,총무팀,5,DEPT003,총무팀장,active,2,"사옥 및 영업점 관리, 구매/계약, 차량관리, 복리후생 운영, 각종 행사 지원 등 임직원의 근무환경 개선과 업무 지원을 담당하는 총무 서비스 조직입니다."
TEAM006,인사팀,5,DEPT003,인사팀장,active,2,"채용, 인사평가, 승진/보상, 교육훈련, 조직문화 개선, 노무관리 등을 통해 우수 인재 확보와 육성, 직원 만족도 향상을 추진하는 인적자원 관리조직입니다."
DEPT004,IT기획부,4,HQ002,IT기획부장,active,2,"IT 중장기 로드맵 수립, 디지털 전환 프로젝트 기획, IT 예산 관리, 시스템 아키텍처 설계 등을 통해 기술 혁신과 업무 효율화를 추진하는 IT 전략 부서입니다."
TEAM007,IT기획팀,5,DEPT004,IT기획팀장,active,2,"IT 프로젝트 관리, 시스템 요구사항 분석, 업무 프로세스 개선, IT 투자 효과 분석 등을 수행하여 비즈니스와 IT의 정렬을 도모하는 IT 기획 실무조직입니다."
HQ003,IB금융본부,3,COM001,IB금융본부장,active,3,"기업금융, 프로젝트 파이낸싱, 구조화 금융 등 투자은행 업무를 수행하며, 기업고객에 대한 종합적인 금융솔루션 제공을 통해 수익 창출과 성장을 이끄는 전문 금융조직입니다."
DEPT005,IB금융1부,4,HQ003,IB금융1부장,active,3,"대기업 및 중견기업 고객 대상 기업금융, 신디케이트론, 프로젝트 파이낸싱 등 대형 딜을 전담하며, 복합금융 솔루션 제공을 통해 수익을 창출하는 IB 1부서입니다."
TEAM008,IB금융1팀,5,DEPT005,IB금융1팀장,active,3,"대기업 및 공공기관 대상 대규모 프로젝트 파이낸싱, 신디케이트론 주선, 회사채 발행 주선 등을 전담하는 대기업 전문 IB 실행팀입니다."
TEAM009,IB금융2팀,5,DEPT005,IB금융2팀장,active,3,"부동산 PF, REITs, 부동산 펀드 등 부동산 관련 구조화 금융을 전문으로 하며, 개발사업 금융자문을 제공하는 부동산금융 전문팀입니다."
TEAM010,IB금융3팀,5,DEPT005,IB금융3팀장,active,3,"중견/중소기업 M&A 자문, 성장금융, 벤처 투자 등을 담당하며, 혁신기업의 성장을 금융으로 지원하는 중소기업 IB 전문팀입니다."
HQ004,영업본부,3,COM001,영업본부장,active,4,"개인고객 대상의 예금, 대출, 자산관리 서비스를 제공하며, 디지털 채널과 오프라인 영업점을 통합 운영하여 고객 편의성과 수익성을 극대화하는 소매금융 전문조직입니다."
DEPT006,기업여신관리부,4,HQ004,기업여신관리부장,active,4,"중소/중견기업 및 벤처기업 대상 성장금융, 기술금융, M&A 자문 등을 전담하며, 혁신기업 발굴과 육성을 통해 미래 성장동력을 확보하는 IB 2부서입니다."
TEAM011,기업여신관리팀,5,DEPT006,기업여신관리팀장,active,4,"해외 프로젝트 파이낸싱, 무역금융, 외화 신디케이트론 등 국제금융 업무를 전담하는 글로벌 IB 실행팀입니다."
TEAM012,여신사후관리팀,5,DEPT006,여신사후관리팀장,active,4,"대기업 및 중견기업 여신 심사, 신용등급 평가, 한도 설정 등을 담당하며, 기업 규모별 맞춤형 심사를 수행하는 기업여신 심사팀입니다."
DEPT007,영업추진부,4,HQ004,영업추진부장,active,4,"기업 및 개인 여신에 대한 종합적인 신용평가, 심사기준 수립, 여신 포트폴리오 관리 등을 통해 건전한 자산 운용과 리스크 관리를 수행하는 심사 전문부서입니다."
